Region_Name,Region_Code,Electors,Group_Name,Group_Abbrev,BP_Order,Vote_Count,Status,Comment
"North Metropolitan","02",391167,"Liberal Democrats","LDP",13,3183,"Count In Progress",
"North Metropolitan","02",391167,"Julie Matheson for Western Australia","JMWA",14,1618,"Count In Progress",
"North Metropolitan","02",391167,"Australian Christians","ACP",15,4482,"Count In Progress",
"North Metropolitan","02",391167,"Shooters, Fishers and Farmers","SFP",16,3631,"Count In Progress",
"North Metropolitan","02",391167,"Independent","IND - TUCAK",17,7,"Count In Progress",
"North Metropolitan","02",391167,"Independent","IND - AMMON",18,256,"Count In Progress",
"North Metropolitan","02",391167,"Independent","IND - RUZZI",19,91,"Count In Progress",
"North Metropolitan","02",391167,"Informal",,999,7918,"Count In Progress",
"South Metropolitan","03",409325,"Socialist Alliance","SA",1,907,"Count In Progress",
"South Metropolitan","03",409325,"Pauline Hanson's One Nation","PHON",2,20609,"Count In Progress",
"South Metropolitan","03",409325,"Flux The System!","FLUX",3,947,"Count In Progress",
"South Metropolitan","03",409325,"Daylight Saving Party","DSP",4,2292,"Count In Progress",
"South Metropolitan","03",409325,"FLUORIDE FREE WA","FFWA",5,781,"Count In Progress",
"South Metropolitan","03",409325,"Micro Business Party","MBP",6,1921,"Count In Progress",
"South Metropolitan","03",409325,"Independent","IND - COTTERELL",7,1274,"Count In Progress",
"South Metropolitan","03",409325,"WA Labor","ALP",8,138120,"Count In Progress",
"South Metropolitan","03",409325,"Independent","IND - MATARAZZO",9,807,"Count In Progress",
"South Metropolitan","03",409325,"Shooters, Fishers and Farmers","SFP",10,4269,"Count In Progress",
"South Metropolitan","03",409325,"Australian Christians","ACP",11,5840,"Count In Progress",
"South Metropolitan","03",409325,"Liberal Democrats","LDP",12,12272,"Count In Progress",
"South Metropolitan","03",409325,"The Greens (WA)","GRN",13,25617,"Count In Progress",
"South Metropolitan","03",409325,"Independent","IND - FREEMAN",14,259,"Count In Progress",
"South Metropolitan","03",409325,"Independent","IND - ADAMS",15,1596,"Count In Progress",
"South Metropolitan","03",409325,"Animal Justice Party","AJP",16,3538,"Count In Progress",
"South Metropolitan","03",409325,"Independent","IND - SMITH",17,245,"Count In Progress",
"South Metropolitan","03",409325,"Julie Matheson for Western Australia","JMWA",18,1059,"Count In Progress",
"South Metropolitan","03",409325,"Liberal Party","LIB",19,76495,"Count In Progress",
"South Metropolitan","03",409325,"Family First","FFP",20,2058,"Count In Progress",
"South Metropolitan","03",409325,"Independent","IND - JONES",21,301,"Count In Progress",
"South Metropolitan","03",409325,"Independent","IND - HESLINGTON",22,117,"Count In Progress",
"South Metropolitan","03",409325,"Independent","IND - BROWN",23,78,"Count In Progress",
"South Metropolitan","03",409325,"Independent","IND - LORRIMAR",24,72,"Count In Progress",
"South Metropolitan","03",409325,"Independent","IND - ROMANO",25,256,"Count In Progress",
"South Metropolitan","03",409325,"Informal",,999,9363,"Count In Progress",
"South West","06",226051,"Shooters, Fishers and Farmers","SFP",1,6630,"Count In Progress",
"South West","06",226051,"Micro Business Party","MBP",2,297,"Count In Progress",
"South West","06",226051,"Family First","FFP",3,1527,"Count In Progress",
"South West","06",226051,"WA Labor","ALP",4,63151,"Count In Progress",
"South West","06",226051,"The Greens (WA)","GRN",5,12029,"Count In Progress",
"South West","06",226051,"Australian Christians","ACP",6,2695,"Count In Progress",
"South West","06",226051,"Flux The System!","FLUX",7,653,"Count In Progress",
"South West","06",226051,"Liberal Party","LIB",8,39632,"Count In Progress",
"South West","06",226051,"Julie Matheson for Western Australia","JMWA",9,215,"Count In Progress",
"South West","06",226051,"Independent","IND - HARTLEY",10,520,"Count In Progress",
"South West","06",226051,"Pauline Hanson's One Nation","PHON",11,17801,"Count In Progress",
"South West","06",226051,"Animal Justice Party","AJP",12,1249,"Count In Progress",
"South West","06",226051,"FLUORIDE FREE WA","FFWA",13,459,"Count In Progress",
"South West","06",226051,"Liberal Democrats","LDP",14,1629,"Count In Progress",
"South West","06",226051,"Daylight Saving Party","DSP",15,593,"Count In Progress",
"South West","06",226051,"THE NATIONALS","NAT",16,20304,"Count In Progress",
"South West","06",226051,"Independent","IND - THERN",17,249,"Count In Progress",
"South West","06",226051,"Independent","IND - HIGGINS",18,102,"Count In Progress",
"South West","06",226051,"Independent","IND - UCHWAL",19,50,"Count In Progress",
"South West","06",226051,"Independent","IND - HAMMOND",20,180,"Count In Progress",
"South West","06",226051,"Informal",,999,5445,"Count In Progress",
